SubID,SessionID,Phase,Day,Block,Trial,NameHash,SchemaVer,ConfigChecksum,SubjectMapChecksum,SelfImageSHA256,Seed,Type,CueDim,P1,P2,P1_com,P1_pop,P2_com,P2_pop,P1_angle_deg,P2_angle_deg,P1_angle_bin,P2_angle_bin,P1_dist,P2_dist,C1,C2,DeltaDim,Choice,Correct_Choice,Is_Correct,Onset_Pair_MS,Offset_Pair_MS,Onset_P1_MS,Offset_P1_MS,Onset_P2_MS,Offset_P2_MS,RT_Choice_MS,Timeout,FixWhite_S,FixPurple_S,FixGreen_S,ITI_S
001,001_A_Day1_20251004-223658,A,1,1,13,e3b0c44298fc1c14,cfg-1.0,eb14d2fa58da398a,9deacb4c18f1b8a0,cd4745ba8c21a0b7,20250927,test,com,3,0,-2.0,-2.0,0,0,225.0,,7.0,,2.8284271247461903,0,-2.0,0,2.0,P2,P2,1,103967.54240000155,107503.91959999979,,,,,100117.70569998771,0,,,,2.247598453404107
001,001_A_Day1_20251004-223658,A,1,1,14,e3b0c44298fc1c14,cfg-1.0,eb14d2fa58da398a,9deacb4c18f1b8a0,cd4745ba8c21a0b7,20250927,test,com,0,17,0,0,2.0,-2.0,,315.0,,10.0,0,2.8284271247461903,0,2.0,2.0,P1,P2,0,110600.42380000232,113240.71919999551,,,,,105839.38809999381,0,,,,1.4404845603283631
001,001_A_Day1_20251004-223658,A,1,1,15,e3b0c44298fc1c14,cfg-1.0,eb14d2fa58da398a,9deacb4c18f1b8a0,cd4745ba8c21a0b7,20250927,test,com,19,7,0.0,1.0,-2.0,0.0,90.0,180.0,3.0,6.0,1.0,2.0,0.0,-2.0,2.0,P2,P1,0,115517.15420000255,149926.84480000753,,,,,142518.67659999698,0,,,,2.592495631686741
001,001_A_Day1_20251004-223658,A,1,1,16,e3b0c44298fc1c14,cfg-1.0,eb14d2fa58da398a,9deacb4c18f1b8a0,cd4745ba8c21a0b7,20250927,test,com,6,21,-2.0,2.0,1.0,0.0,135.0,0.0,4.0,0.0,2.8284271247461903,1.0,-2.0,1.0,3.0,P2,P2,1,153365.74890000338,157296.62200000894,,,,,149924.61119999643,0,,,,1.5340235709922887
001,001_A_Day1_20251004-223658,A,1,1,17,e3b0c44298fc1c14,cfg-1.0,eb14d2fa58da398a,9deacb4c18f1b8a0,cd4745ba8c21a0b7,20250927,test,com,13,4,-2.0,1.0,1.0,-2.0,153.434948822922,296.565051177078,5.0,9.0,2.23606797749979,2.23606797749979,-2.0,1.0,3.0,P2,P2,1,159666.7718999961,160959.41419999872,,,,,153574.4466999895,0,,,,1.5868367289146783
001,001_A_Day1_20251004-223658,A,1,1,18,e3b0c44298fc1c14,cfg-1.0,eb14d2fa58da398a,9deacb4c18f1b8a0,cd4745ba8c21a0b7,20250927,test,com,18,24,2.0,1.0,-1.0,1.0,26.56505117707799,135.0,0.0,4.0,2.23606797749979,1.4142135623730951,2.0,-1.0,3.0,P2,P1,0,163383.83079999767,164372.65230000776,,,,,156987.404399988,0,,,,2.6448773378831163
001,001_A_Day1_20251004-223658,A,1,1,19,e3b0c44298fc1c14,cfg-1.0,eb14d2fa58da398a,9deacb4c18f1b8a0,cd4745ba8c21a0b7,20250927,test,com,21,24,1.0,0.0,-1.0,1.0,0.0,135.0,0.0,4.0,1.0,1.4142135623730951,1.0,-1.0,2.0,P2,P1,0,167865.86059999536,169498.3065999986,,,,,162110.33949999546,0,,,,1.9527168495645268
001,001_A_Day1_20251004-223658,A,1,1,20,e3b0c44298fc1c14,cfg-1.0,eb14d2fa58da398a,9deacb4c18f1b8a0,cd4745ba8c21a0b7,20250927,test,com,8,18,-1.0,0.0,2.0,1.0,180.0,26.56505117707799,6.0,0.0,1.0,2.23606797749979,-1.0,2.0,3.0,P2,P2,1,172299.832100005,172948.919500006,,,,,165571.3529999921,0,,,,1.8813859399080899
001,001_A_Day2_20251006-145611,A,2,1,1,e3b0c44298fc1c14,cfg-1.0,eb14d2fa58da398a,c6ccd6180edf4f17,cd4745ba8c21a0b7,20250927,learn,pop,10,0,1.0,-1.0,0,0,315.0,,10.0,,1.4142135623730951,0,-1.0,0,1.0,P2,P2,1,19577.59800000349,21355.444899993017,,,,,5505.882200028282,0,,,,1.348034790410566
001,001_A_Day2_20251006-145611,A,2,1,2,e3b0c44298fc1c14,cfg-1.0,eb14d2fa58da398a,c6ccd6180edf4f17,cd4745ba8c21a0b7,20250927,learn,pop,0,24,0,0,-1.0,1.0,,135.0,,4.0,0,1.4142135623730951,0,1.0,1.0,P1,P2,0,24125.056000018958,25253.745299996808,,,,,9460.325399995781,0,,,,1.3427098877454495
